WEEK,MONTH,YOPLAIT UNITS,YOPLAIT PRICE,DANNON PRICE,CHOBANI PRICE
444,Jul,2043512,0.89,1.44,1.34
445,Jul,2051223,0.89,1.37,1.42
446,Jul,2245167,0.87,1.20,1.38
447,Jul,2306225,0.83,1.07,1.40
448,Jul,2379253,0.82,1.29,1.35
449,Aug,2201171,0.87,1.26,1.16
450,Aug,2125845,0.90,1.41,1.40
451,Aug,2179085,0.87,1.00,1.29
452,Aug,2660423,0.79,1.42,1.31
453,Sep,2340939,0.85,1.46,1.17
454,Sep,2400097,0.84,1.25,1.24
455,Sep,2375291,0.86,1.33,1.16
456,Sep,2013576,0.92,1.33,1.34
457,Oct,2704224,0.78,1.07,1.32
458,Oct,3374058,0.71,1.49,1.13
459,Oct,2056309,0.91,1.36,1.32
460,Oct,2642002,0.77,1.38,1.18
461,Oct,2120850,0.84,1.15,1.34
462,Nov,2321849,0.86,1.41,1.14
463,Nov,2326047,0.85,1.42,1.31
464,Nov,1958882,0.89,1.30,1.34
465,Nov,1488449,0.92,1.42,1.35
466,Dec,2394270,0.81,1.49,1.30
467,Dec,1946871,0.86,1.15,1.35
468,Dec,1584087,0.93,1.31,1.32
469,Dec,1275847,0.90,1.48,1.38
470,Dec,1784188,0.86,1.17,1.35
471,Jan,3330155,0.71,0.95,1.30
472,Jan,2703645,0.76,1.26,1.30
473,Jan,2299801,0.84,1.18,1.16
474,Jan,2424408,0.80,1.37,1.13
475,Feb,2300236,0.88,1.14,1.16
476,Feb,2307257,0.84,1.28,1.36
477,Feb,2920042,0.73,1.40,1.29
478,Feb,2228550,0.87,1.08,1.35
479,Mar,2540246,0.84,1.42,1.31
480,Mar,2500776,0.85,1.26,1.31
481,Mar,2455215,0.81,1.07,1.38
482,Mar,2543234,0.82,1.29,1.37
483,Apr,2125690,0.89,1.46,1.37
484,Apr,2321745,0.84,1.40,1.23
485,Apr,2658061,0.79,1.09,1.38
486,Apr,2731611,0.77,1.49,1.30
487,Apr,2557889,0.81,1.51,1.18
488,May,2580182,0.83,1.48,1.33
489,May,2540578,0.81,1.39,1.19
490,May,2991298,0.74,1.51,1.35
491,May,2184291,0.84,1.48,1.22
492,Jun,2675135,0.77,1.55,1.34
493,Jun,2391776,0.81,1.51,1.31
494,Jun,2311816,0.82,1.31,1.35
495,Jun,2572168,0.77,1.52,1.35
496,Jul,2080123,0.86,1.40,1.33
497,Jul,2179119,0.87,1.54,1.38
498,Jul,2374339,0.83,1.30,1.39
499,Jul,2314136,0.82,1.44,1.39
500,Jul,2034231,0.86,1.21,1.40
501,Aug,2525171,0.79,1.51,1.41
502,Aug,2492923,0.82,1.34,1.41
503,Aug,2081684,0.87,1.24,1.41
504,Aug,2220495,0.83,1.48,1.41
505,Sep,2219645,0.87,1.51,1.41
506,Sep,2448522,0.80,1.44,1.38
507,Sep,2294543,0.83,1.44,1.40
508,Sep,2199820,0.82,1.35,1.40
509,Sep,2576841,0.75,1.35,1.40
510,Oct,2721513,0.75,1.56,1.40
511,Oct,2088995,0.86,1.29,1.40
512,Oct,2249766,0.79,1.47,1.39
513,Oct,1908311,0.84,1.43,1.39
514,Nov,1972693,0.88,1.29,1.38
515,Nov,1986362,0.87,1.46,1.40
516,Nov,2047453,0.82,1.57,1.40
517,Nov,1306707,0.93,1.37,1.40
518,Dec,1809250,0.88,1.41,1.37
519,Dec,2203863,0.79,1.38,1.35
520,Dec,1420836,0.92,1.40,1.37
521,Dec,1149015,0.92,1.60,1.41
522,Dec,1746505,0.81,1.53,1.43
523,Jan,3027025,0.71,1.25,1.32
524,Jan,2592735,0.76,1.37,1.33
525,Jan,2291737,0.82,1.30,1.38
526,Jan,2139428,0.82,1.49,1.40
527,Feb,2046578,0.87,1.44,1.33
528,Feb,2075841,0.87,1.37,1.35
529,Feb,2171303,0.85,1.45,1.35
530,Feb,2131626,0.85,1.49,1.30
531,Mar,2223529,0.85,1.31,1.29
532,Mar,2041711,0.92,1.51,1.32
533,Mar,1942357,0.90,1.29,1.37
534,Mar,2083201,0.83,1.46,1.27
535,Mar,1923423,0.91,1.45,1.31
536,Apr,2078744,0.89,1.27,1.35
537,Apr,2182005,0.84,1.44,1.38
538,Apr,1719534,0.92,1.33,1.38
539,Apr,1790446,0.85,1.47,1.42
540,May,2087038,0.86,1.32,1.40
541,May,1871167,0.91,1.47,1.41
542,May,2213742,0.81,1.40,1.41
543,May,1679532,0.90,1.39,1.41
544,Jun,1903941,0.85,1.56,1.40
545,Jun,1654621,0.97,1.54,1.39
546,Jun,1737019,0.93,1.42,1.40
547,Jun,1759658,0.91,1.66,1.40
548,Jun,1746264,0.91,1.63,1.41
549,Jul,1615631,0.99,1.54,1.41
550,Jul,1851221,0.93,1.60,1.40
551,Jul,1898320,0.89,1.61,1.41
552,Jul,1509453,0.99,1.50,1.39
553,Aug,1879026,0.95,1.65,1.28
554,Aug,2025709,0.97,1.58,1.37
555,Aug,1867477,0.95,1.65,1.38
556,Aug,1594002,1.03,1.65,1.23
557,Sep,1613750,1.02,1.63,1.37
558,Sep,2032965,0.95,1.61,1.33
559,Sep,1745274,1.06,1.64,1.41
560,Sep,1679836,1.03,1.67,1.36
561,Sep,1792941,0.99,1.71,1.36
562,Oct,1890071,0.97,1.64,1.29
563,Oct,1854960,0.99,1.73,1.24
564,Oct,1681291,1.00,1.68,1.32
565,Oct,1570368,0.99,1.78,1.31
566,Nov,1570216,1.00,1.76,1.21
567,Nov,1737014,0.97,1.86,1.30
568,Nov,1428985,1.06,1.75,1.31
569,Nov,1076198,1.10,1.77,1.38
570,Dec,1523707,1.00,1.83,1.31
571,Dec,1579472,1.00,1.88,1.28
572,Dec,1223610,1.07,1.85,1.25
573,Dec,1092610,1.04,1.90,1.40
,,,,,
,,,,,
